actorID,actor_type,objectID,object,action,timestamp,is_malicious
NOPROCESSNAME_1848,PRINCIPAL_LOCAL,NOPROCESSNAME,FILE_OBJECT_BLOCK,executed,26515735,0
NOPROCESSNAME_1848,PRINCIPAL_LOCAL,NOPROCESSNAME_516,SUBJECT_PROCESS,fork,26515735,0
tiles-cloudfront.cdn.mozilla.net/images/0152ecdf5b18e095d255486b18c3f6a04ba6300e.27260.png,NetFlowObject,tiles-cloudfront.cdn.mozilla.net,NETFLOW_OBJECT,web_request,26516683,0
tiles-cloudfront.cdn.mozilla.net/images/b18c52ee5445fb37ed466d695f7e018efd0ad58f.95655.png,NetFlowObject,tiles-cloudfront.cdn.mozilla.net,NETFLOW_OBJECT,web_request,26516683,0
tiles-cloudfront.cdn.mozilla.net/images/779e35acbfe52553d7f36add885732a12ec95476.39795.png,NetFlowObject,tiles-cloudfront.cdn.mozilla.net,NETFLOW_OBJECT,web_request,26516683,0
tiles-cloudfront.cdn.mozilla.net/images/12abda9be001265d0721947e520149fb781562b8.10301.png,NetFlowObject,tiles-cloudfront.cdn.mozilla.net,NETFLOW_OBJECT,web_request,26516683,0
tiles-cloudfront.cdn.mozilla.net/images/af34c0541c6cdff392ec4414cb5949fa7012271d.17141.png,NetFlowObject,tiles-cloudfront.cdn.mozilla.net,NETFLOW_OBJECT,web_request,26516683,0
google.com/,NetFlowObject,google.com,NETFLOW_OBJECT,web_request,26516686,0
www.google.com/,NetFlowObject,www.google.com,NETFLOW_OBJECT,web_request,26516686,0
www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=nwvdw7pcnpaqjgtj150q&rt=wsrt.465aft.609prt.365,NetFlowObject,www.google.com,NETFLOW_OBJECT,web_request,26516687,0
lh3.googleusercontent.com/-h1hzguwn3ru/aaaaaaaaaai/aaaaaaaaaaa/abtnlbdyijzvvinqydog3b-ykbg6pbvawa/s64-c-mo/photo.jpg,NetFlowObject,lh3.googleusercontent.com,NETFLOW_OBJECT,web_request,26516687,0
www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=nwvdw7pcnpaqjgtj150q&rt=wsrt.465aft.609prt.365,NetFlowObject,www.google.com/?gws_rd=ssl,NetFlowObject,refer,26516687,0
www.gstatic.com/og/_/js/k=og.og2.en_us.jvz6scntxcy.o/rt=j/m=drtdef/exm=infot/d=1/ed=1/rs=aa2yrttfxushvjsiq_u0u8lrjdls3ymvoa,NetFlowObject,www.gstatic.com,NETFLOW_OBJECT,web_request,26516687,0
www.google.com/?gws_rd=ssl,NetFlowObject,www.google.com,NETFLOW_OBJECT,web_request,26516687,0
ocsp.pki.goog/gtsgiag3,NetFlowObject,ocsp.pki.goog,NETFLOW_OBJECT,web_request,26516687,0
ssl.gstatic.com/gb/images/i2_2ec824b0.png,NetFlowObject,ssl.gstatic.com,NETFLOW_OBJECT,web_request,26516687,0
www.google.com/logos/doodles/2018/day-of-the-dead-2018-5705827255058432-law.gif,NetFlowObject,www.google.com,NETFLOW_OBJECT,web_request,26516687,0
